source_path,compatibility_status,proposed_category,proposed_subcategory,proposed_final_path,routing_role,placement_confidence,placement_basis,placement_concern,future_structure_candidate
task-folder/agents/skills/monopoly,Ambiguous and requiring manual review,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/monopoly,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/monopoly/patterns,Approved and supported,business-and-operations,strategy,task-folder/agents/skills/business-and-operations/strategy/patterns,child_skill,high,"Primary outcome is strategic market positioning, operational planning, and business analysis.",None,none
task-folder/agents/skills/monopoly/scale-benchmarks,Ambiguous and requiring manual review,business-and-operations,strategy,task-folder/agents/skills/business-and-operations/strategy/scale-benchmarks,child_skill,high,"Primary outcome is strategic market positioning, operational planning, and business analysis.",None,none
task-folder/agents/skills/monopoly/tech-matrix,Ambiguous and requiring manual review,business-and-operations,strategy,task-folder/agents/skills/business-and-operations/strategy/tech-matrix,child_skill,high,"Primary outcome is strategic market positioning, operational planning, and business analysis.",None,none
task-folder/agents/skills/lovable-cleanup,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/lovable-cleanup,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/graphql-schema,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/graphql-schema,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/site-architecture,Approved and supported,marketing-and-seo,technical-seo,task-folder/agents/skills/marketing-and-seo/technical-seo/site-architecture,child_skill,high,"Primary outcome is technical search engine crawlability, indexing, schema, and page speed.",None,none
task-folder/agents/skills/cms-collection-setup,Approved and supported,development,mobile,task-folder/agents/skills/development/mobile/cms-collection-setup,child_skill,high,"Primary outcome is mobile application development across iOS, Android, and cross-platform runtimes.",None,none
task-folder/agents/skills/scarcity-urgency-psychologist,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/scarcity-urgency-psychologist,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/documentation/docs-guard,Approved and supported,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/docs-guard,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/documentation/documentation,Approved and supported,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/documentation,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/documentation/research-documentation,Supported after conversion,content-and-documentation,research-and-synthesis,task-folder/agents/skills/content-and-documentation/research-and-synthesis/research-documentation,child_skill,high,"Primary outcome is academic paper synthesis, research distillation, and literature review.",None,none
task-folder/agents/skills/documentation/doc-coauthoring,Supported after conversion,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/doc-coauthoring,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/documentation/documentation-templates,Ambiguous and requiring manual review,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/documentation-templates,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/documentation/docs-architect,Approved and supported,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/docs-architect,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/documentation/planning-documentation,Approved and supported,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/planning-documentation,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/documentation/documentation-generation-doc-generate,Ambiguous and requiring manual review,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/documentation-generation-doc-generate,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/documentation/documentation-and-adrs,Approved and supported,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/documentation-and-adrs,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/macos-screen-recorder,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/macos-screen-recorder,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/privacy-mask,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/privacy-mask,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/asset-audit,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/asset-audit,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/helpdesk-automation,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/helpdesk-automation,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/earllm-build,Supported after conversion,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/earllm-build,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/riffkit,Approved and supported,marketing-and-seo,content-and-campaigns,task-folder/agents/skills/marketing-and-seo/content-and-campaigns/riffkit,child_skill,high,"Primary outcome is marketing campaigns, digital advertising creatives, and social distribution.",None,none
task-folder/agents/skills/folder-specific-claude-and-agents-md,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/folder-specific-claude-and-agents-md,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/pi-custom-model,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/pi-custom-model,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/search-specialist,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/search-specialist,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/cold-email,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/cold-email,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/databases/database-optimizer,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/database-optimizer,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/databases/database-cloud-optimization-cost-optimize,Ambiguous and requiring manual review,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/database-cloud-optimization-cost-optimize,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/databases/database,Approved and supported,development,backend,task-folder/agents/skills/development/backend/database,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/databases/database-design,Approved and supported,development,backend,task-folder/agents/skills/development/backend/database-design,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/databases/dbt-transformation-patterns,Approved and supported,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/dbt-transformation-patterns,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/databases/database-admin,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/database-admin,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/databases/database-architect,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/database-architect,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/databases/database-migration,Ambiguous and requiring manual review,marketing-and-seo,technical-seo,task-folder/agents/skills/marketing-and-seo/technical-seo/database-migration,child_skill,high,"Primary outcome is technical search engine crawlability, indexing, schema, and page speed.",None,none
task-folder/agents/skills/databases/database-migrations-migration-observability,Approved and supported,infrastructure-and-ops,observability,task-folder/agents/skills/infrastructure-and-ops/observability/database-migrations-migration-observability,child_skill,high,"Primary outcome is system telemetry, infrastructure monitoring, and uptime observability.",None,none
task-folder/agents/skills/databases/database-migrations-sql-migrations,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/database-migrations-sql-migrations,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/delegating-to-agents,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/delegating-to-agents,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/risk-metrics-calculation,Approved and supported,infrastructure-and-ops,observability,task-folder/agents/skills/infrastructure-and-ops/observability/risk-metrics-calculation,child_skill,high,"Primary outcome is system telemetry, infrastructure monitoring, and uptime observability.",None,none
task-folder/agents/skills/ckw-design,Supported after conversion,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/ckw-design,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/remotion-best-practices,Approved and supported,design-and-experience,motion-and-graphics,task-folder/agents/skills/design-and-experience/motion-and-graphics/remotion-best-practices,child_skill,high,"Primary outcome is visual motion, 3D rendering, canvas animations, and interactive graphics.",None,none
task-folder/agents/skills/malware-analyst,Ambiguous and requiring manual review,quality-and-security,security,task-folder/agents/skills/quality-and-security/security/malware-analyst,child_skill,high,"Primary outcome is vulnerability assessment, security scanning, and penetration testing.",None,none
task-folder/agents/skills/brevo-automation,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/brevo-automation,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/learn,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/learn,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/audit-context-building,Approved and supported,quality-and-security,security,task-folder/agents/skills/quality-and-security/security/audit-context-building,child_skill,high,"Primary outcome is vulnerability assessment, security scanning, and penetration testing.",None,none
task-folder/agents/skills/test-driven-development,Ambiguous and requiring manual review,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/test-driven-development,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/testng-skill,Approved and supported,development,backend,task-folder/agents/skills/development/backend/testng-skill,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/customer-psychographic-profiler,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/customer-psychographic-profiler,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/framework-migration-deps-upgrade,Approved and supported,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/framework-migration-deps-upgrade,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/rag-implementation,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/rag-implementation,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/llm/llm/llm-evaluation,Approved and supported,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/llm-evaluation,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/llm/llm/llm-application-dev-ai-assistant,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/llm-application-dev-ai-assistant,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/llm/llm/llm-application-dev-langchain-agent,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/llm-application-dev-langchain-agent,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/llm/llm/llm-app-patterns,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/llm-app-patterns,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/llm/llm/llm-council,Supported after conversion,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/llm-council,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/llm/llm/llm-ops,Supported after conversion,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/llm-ops,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/llm/llm/llm-prompt-optimizer,Approved and supported,meta-and-agent-skills,skill-validation,task-folder/agents/skills/meta-and-agent-skills/skill-validation/llm-prompt-optimizer,child_skill,high,"Primary outcome is validation, auditing, and quality checking of agent skills.",None,none
task-folder/agents/skills/llm/llm/llm-application-dev-prompt-optimize,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/llm-application-dev-prompt-optimize,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/llm/llm/llm-structured-output,Approved and supported,marketing-and-seo,technical-seo,task-folder/agents/skills/marketing-and-seo/technical-seo/llm-structured-output,child_skill,high,"Primary outcome is technical search engine crawlability, indexing, schema, and page speed.",None,none
task-folder/agents/skills/browser-extension-builder,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/browser-extension-builder,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/screenshots,Ambiguous and requiring manual review,marketing-and-seo,content-and-campaigns,task-folder/agents/skills/marketing-and-seo/content-and-campaigns/screenshots,child_skill,high,"Primary outcome is marketing campaigns, digital advertising creatives, and social distribution.",None,none
task-folder/agents/skills/pdf-conversion-router,Ambiguous and requiring manual review,content-and-documentation,presentations,task-folder/agents/skills/content-and-documentation/presentations/pdf-conversion-router,child_skill,high,"Primary outcome is visual presentation building, slide deck creation, and visual pitch generation.",None,none
task-folder/agents/skills/ml-pipeline-workflow,Ambiguous and requiring manual review,data-and-ai,data-engineering,task-folder/agents/skills/data-and-ai/data-engineering/ml-pipeline-workflow,child_skill,high,"Primary outcome is data pipeline engineering, ETL workflows, and database querying.",None,none
task-folder/agents/skills/bilig-workpaper,Approved and supported,workflow-and-automation,tool-integration,task-folder/agents/skills/workflow-and-automation/tool-integration/bilig-workpaper,child_skill,high,"Primary outcome is integrating external tool APIs, MCP services, and automation hooks.",None,none
task-folder/agents/skills/fixing-motion-performance,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/fixing-motion-performance,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/context/context-degradation,Approved and supported,development,systems,task-folder/agents/skills/development/systems/context-degradation,child_skill,high,"Primary outcome is systems-level programming, low-level concurrency, and protocol engineering.",None,none
task-folder/agents/skills/context/context-manager,Approved and supported,data-and-ai,vector-databases,task-folder/agents/skills/data-and-ai/vector-databases/context-manager,child_skill,high,"Primary outcome is vector database indexing, embedding storage, and similarity search.",None,none
task-folder/agents/skills/context/context-compression,Ambiguous and requiring manual review,development,fullstack,task-folder/agents/skills/development/fullstack/context-compression,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/context/context-management-context-restore,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/context-management-context-restore,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/context/context7-auto-research,Supported after conversion,content-and-documentation,research-and-synthesis,task-folder/agents/skills/content-and-documentation/research-and-synthesis/context7-auto-research,child_skill,high,"Primary outcome is academic paper synthesis, research distillation, and literature review.",None,none
task-folder/agents/skills/context/context-driven-development,Ambiguous and requiring manual review,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/context-driven-development,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/context/context-engineering,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/context-engineering,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/context/context-kit,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/context-kit,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/context/context-guardian,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/context-guardian,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/context/context-fundamentals,Approved and supported,development,frontend,task-folder/agents/skills/development/frontend/context-fundamentals,child_skill,high,"Primary outcome is frontend client-side engineering, web components, and UI state architecture.",None,none
task-folder/agents/skills/context/context-management-context-save,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/context-management-context-save,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/context/context-agent,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/context-agent,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/context/context-window-management,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/context-window-management,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/context/context-optimization,Approved and supported,development,backend,task-folder/agents/skills/development/backend/context-optimization,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/vercel/vercel-automation,Approved and supported,infrastructure-and-ops,cloud-platforms,task-folder/agents/skills/infrastructure-and-ops/cloud-platforms/vercel-automation,child_skill,high,"Primary outcome is cloud platform hosting, serverless configuration, and edge deployment.",None,none
task-folder/agents/skills/vercel/vercel-deployment,Ambiguous and requiring manual review,infrastructure-and-ops,cloud-platforms,task-folder/agents/skills/infrastructure-and-ops/cloud-platforms/vercel-deployment,child_skill,high,"Primary outcome is cloud platform hosting, serverless configuration, and edge deployment.",None,none
task-folder/agents/skills/vercel/vercel-cli-with-tokens,Ambiguous and requiring manual review,infrastructure-and-ops,observability,task-folder/agents/skills/infrastructure-and-ops/observability/vercel-cli-with-tokens,child_skill,high,"Primary outcome is system telemetry, infrastructure monitoring, and uptime observability.",None,none
task-folder/agents/skills/vercel/vercel-react-view-transitions,Ambiguous and requiring manual review,design-and-experience,motion-and-graphics,task-folder/agents/skills/design-and-experience/motion-and-graphics/vercel-react-view-transitions,child_skill,high,"Primary outcome is visual motion, 3D rendering, canvas animations, and interactive graphics.",None,none
task-folder/agents/skills/vercel/vercel-ai-sdk-expert,Approved and supported,infrastructure-and-ops,cloud-platforms,task-folder/agents/skills/infrastructure-and-ops/cloud-platforms/vercel-ai-sdk-expert,child_skill,high,"Primary outcome is cloud platform hosting, serverless configuration, and edge deployment.",None,none
task-folder/agents/skills/vercel/vercel-optimize,Ambiguous and requiring manual review,infrastructure-and-ops,cloud-platforms,task-folder/agents/skills/infrastructure-and-ops/cloud-platforms/vercel-optimize,child_skill,high,"Primary outcome is cloud platform hosting, serverless configuration, and edge deployment.",None,none
task-folder/agents/skills/planning-and-task-breakdown,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/planning-and-task-breakdown,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/docx-official,Ambiguous and requiring manual review,development,fullstack,task-folder/agents/skills/development/fullstack/docx-official,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/systematic-debugging,Approved and supported,quality-and-security,debugging,task-folder/agents/skills/quality-and-security/debugging/systematic-debugging,child_skill,high,"Primary outcome is systematic error diagnosis, root cause investigation, and debugging.",None,none
task-folder/agents/skills/theme-factory,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/theme-factory,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/deployment-validation-config-validate,Ambiguous and requiring manual review,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/deployment-validation-config-validate,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/ejentum-reasoning-harness,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/ejentum-reasoning-harness,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/plan-implementation,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/plan-implementation,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/knowledge-distribution,Approved and supported,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/knowledge-distribution,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/sympy,Approved and supported,development,backend,task-folder/agents/skills/development/backend/sympy,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/incremental-implementation,Ambiguous and requiring manual review,development,fullstack,task-folder/agents/skills/development/fullstack/incremental-implementation,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/landing-page-generator,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/landing-page-generator,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/launch-strategy,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/launch-strategy,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/cc-skill-frontend-patterns,Ambiguous and requiring manual review,development,frontend,task-folder/agents/skills/development/frontend/cc-skill-frontend-patterns,child_skill,high,"Primary outcome is frontend client-side engineering, web components, and UI state architecture.",None,none
task-folder/agents/skills/ii-commons,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/ii-commons,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/transformers-js,Ambiguous and requiring manual review,data-and-ai,machine-learning,task-folder/agents/skills/data-and-ai/machine-learning/transformers-js,child_skill,high,"Primary outcome is statistical modeling, machine learning training, and predictive analysis.",None,none
task-folder/agents/skills/radix-ui-design-system,Ambiguous and requiring manual review,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/radix-ui-design-system,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/internal-comms-anthropic,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/internal-comms-anthropic,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/data-analytics/data-storytelling,Approved and supported,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/data-storytelling,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/data-analytics/data-analytics/unit-economics-tracking,Supported after conversion,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/unit-economics-tracking,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/data-analytics/data-analytics/ab-testing-ecommerce,Supported after conversion,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/ab-testing-ecommerce,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/data-analytics/data-analytics/financial-analytics-dashboard,Supported after conversion,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/financial-analytics-dashboard,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/data-analytics/data-analytics/profit-margin-analysis,Supported after conversion,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/profit-margin-analysis,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/data-analytics/data-analytics/cost-allocation-analysis,Supported after conversion,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/cost-allocation-analysis,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/data-analytics/data-analytics/marketing-spend-analysis,Supported after conversion,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/marketing-spend-analysis,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/data-analytics/data-analytics/cash-flow-forecasting,Supported after conversion,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/cash-flow-forecasting,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/data-analytics/data-analytics/product-analytics,Supported after conversion,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/product-analytics,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/data-analytics/data-analytics/attribution-modeling,Supported after conversion,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/attribution-modeling,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/data-analytics/data-analytics/ecommerce-data-warehouse,Supported after conversion,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/ecommerce-data-warehouse,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/data-analytics/data-analytics/marketplace-fee-reconciliation,Supported after conversion,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/marketplace-fee-reconciliation,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/data-analytics/data-analytics/customer-analytics,Supported after conversion,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/customer-analytics,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/data-analytics/data-analytics/revenue-recognition-accounting,Supported after conversion,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/revenue-recognition-accounting,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/data-analytics/data-analytics/ecommerce-budgeting-forecasting,Supported after conversion,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/ecommerce-budgeting-forecasting,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
