canonical_skill_name,origin_path,origin_type,parent_source,proposed_category,proposed_subcategory,phase08_batch,phase08_rewrite_status,phase08_final_destination,phase08_authoring_workflow,phase08_validation_status
team-composition-analysis,task-folder/agents/skills/team-composition-analysis,canonical_retained_source,none,business-and-operations,strategy,unassigned,pending,pending,unprocessed_in_phase08,pending
latex-paper-conversion,task-folder/agents/skills/latex-paper-conversion,canonical_retained_source,none,content-and-documentation,research-and-synthesis,unassigned,pending,pending,unprocessed_in_phase08,pending
mental-health-analyzer,task-folder/agents/skills/mental-health-analyzer,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
arrowspace,task-folder/agents/skills/arrowspace,canonical_retained_source,none,data-and-ai,vector-databases,unassigned,pending,pending,unprocessed_in_phase08,pending
cc-skill-backend-patterns,task-folder/agents/skills/cc-skill-backend-patterns,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
markdown-rendering,task-folder/agents/skills/markdown-rendering,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
inngest,task-folder/agents/skills/inngest,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
interface-design-system,task-folder/agents/skills/interface-design-system,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
privilege-escalation-methods,task-folder/agents/skills/privilege-escalation-methods,canonical_retained_source,none,quality-and-security,testing,unassigned,pending,pending,unprocessed_in_phase08,pending
bigquery-view-generator,task-folder/agents/skills/big query/bigquery-view-generator,canonical_retained_source,none,infrastructure-and-ops,cloud-platforms,unassigned,pending,pending,unprocessed_in_phase08,pending
bigquery-analytics,task-folder/agents/skills/big query/bigquery-analytics,canonical_retained_source,none,data-and-ai,analytics,unassigned,pending,pending,unprocessed_in_phase08,pending
bigquery-basics,task-folder/agents/skills/big query/bigquery-basics,canonical_retained_source,none,data-and-ai,llm-and-rag,unassigned,pending,pending,unprocessed_in_phase08,pending
bigquery-table-creator,task-folder/agents/skills/big query/bigquery-table-creator,canonical_retained_source,none,infrastructure-and-ops,cloud-platforms,unassigned,pending,pending,unprocessed_in_phase08,pending
bigquery-query-optimization,task-folder/agents/skills/big query/bigquery-query-optimization,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
ingest-youtube,task-folder/agents/skills/ingest-youtube,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
speed,task-folder/agents/skills/speed,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
dev-to-hashnode,task-folder/agents/skills/dev-to-hashnode,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
loss-aversion-designer,task-folder/agents/skills/loss-aversion-designer,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
tree-ring-memory,task-folder/agents/skills/tree-ring-memory,canonical_retained_source,none,development,software-architecture,unassigned,pending,pending,unprocessed_in_phase08,pending
automated-triage,task-folder/agents/skills/automated-triage,canonical_retained_source,none,workflow-and-automation,tool-integration,workflow-and-automation-tool-integration,completed,task-folder/agents/skills-rebuild/workflow-and-automation/tool-integration/automated-triage,skill-writer,verified_pass
handoff,task-folder/agents/skills/handoff,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
headline-psychologist,task-folder/agents/skills/headline-psychologist,canonical_retained_source,none,development,mobile,unassigned,pending,pending,unprocessed_in_phase08,pending
gcp-cloud-run,task-folder/agents/skills/gcp-cloud-run,canonical_retained_source,none,infrastructure-and-ops,containers-and-orchestration,unassigned,pending,pending,unprocessed_in_phase08,pending
web-design-guidelines,task-folder/agents/skills/web-design-guidelines,canonical_retained_source,none,quality-and-security,compliance,unassigned,pending,pending,unprocessed_in_phase08,pending
scanning-tools,task-folder/agents/skills/scanning-tools,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
elixir-pro,task-folder/agents/skills/elixir-pro,canonical_retained_source,none,development,systems,unassigned,pending,pending,unprocessed_in_phase08,pending
advanced-evaluation,task-folder/agents/skills/advanced-evaluation,canonical_retained_source,none,data-and-ai,llm-and-rag,unassigned,pending,pending,unprocessed_in_phase08,pending
007,task-folder/agents/skills/007,canonical_retained_source,none,quality-and-security,security,unassigned,pending,pending,unprocessed_in_phase08,pending
onboarding-psychologist,task-folder/agents/skills/onboarding-psychologist,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
visual-emotion-engineer,task-folder/agents/skills/visual-emotion-engineer,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
unslop-review,task-folder/agents/skills/unslop-review,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
gdpr-data-handling,task-folder/agents/skills/gdpr-data-handling,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
sshepherd,task-folder/agents/skills/sshepherd,canonical_retained_source,none,infrastructure-and-ops,containers-and-orchestration,unassigned,pending,pending,unprocessed_in_phase08,pending
differential-review,task-folder/agents/skills/differential-review,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
using-superpowers,task-folder/agents/skills/using-superpowers,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-tool-builder,task-folder/agents/skills/hugging face/hugging-face-tool-builder,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
huggingface-local-models,task-folder/agents/skills/hugging face/huggingface-local-models,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-gradio,task-folder/agents/skills/hugging face/hugging-face-gradio,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
huggingface-lora-space-builder,task-folder/agents/skills/hugging face/huggingface-lora-space-builder,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-evaluation,task-folder/agents/skills/hugging face/hugging-face-evaluation,canonical_retained_source,none,data-and-ai,llm-and-rag,unassigned,pending,pending,unprocessed_in_phase08,pending
huggingface-zerogpu,task-folder/agents/skills/hugging face/huggingface-zerogpu,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
huggingface-spaces,task-folder/agents/skills/hugging face/huggingface-spaces,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
huggingface-tool-builder,task-folder/agents/skills/hugging face/huggingface-tool-builder,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-datasets,task-folder/agents/skills/hugging face/hugging-face-datasets,canonical_retained_source,none,data-and-ai,llm-and-rag,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-vision-trainer,task-folder/agents/skills/hugging face/hugging-face-vision-trainer,canonical_retained_source,none,data-and-ai,analytics,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-cli,task-folder/agents/skills/hugging face/hugging-face-cli,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-trackio,task-folder/agents/skills/hugging face/hugging-face-trackio,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-papers,task-folder/agents/skills/hugging face/hugging-face-papers,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-jobs,task-folder/agents/skills/hugging face/hugging-face-jobs,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
huggingface-best,task-folder/agents/skills/hugging face/huggingface-best,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-paper-publisher,task-folder/agents/skills/hugging face/hugging-face-paper-publisher,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-model-trainer,task-folder/agents/skills/hugging face/hugging-face-model-trainer,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-community-evals,task-folder/agents/skills/hugging face/hugging-face-community-evals,canonical_retained_source,none,data-and-ai,llm-and-rag,unassigned,pending,pending,unprocessed_in_phase08,pending
hugging-face-dataset-viewer,task-folder/agents/skills/hugging face/hugging-face-dataset-viewer,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
google-docs-automation,task-folder/agents/skills/google/google-docs-automation,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
google-drive-automation,task-folder/agents/skills/google/google-drive-automation,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
google-slides-automation,task-folder/agents/skills/google/google-slides-automation,canonical_retained_source,none,content-and-documentation,presentations,unassigned,pending,pending,unprocessed_in_phase08,pending
google-calendar-automation,task-folder/agents/skills/google/google-calendar-automation,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
googlesheets-automation,task-folder/agents/skills/google/googlesheets-automation,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
google-analytics-automation,task-folder/agents/skills/google/google-analytics-automation,canonical_retained_source,none,marketing-and-seo,technical-seo,unassigned,pending,pending,unprocessed_in_phase08,pending
google-sheets-automation,task-folder/agents/skills/google/google-sheets-automation,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
segment-automation,task-folder/agents/skills/segment-automation,canonical_retained_source,none,data-and-ai,analytics,unassigned,pending,pending,unprocessed_in_phase08,pending
matematico-tao,task-folder/agents/skills/matematico-tao,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
cms-best-practices,task-folder/agents/skills/cms-best-practices,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
dispatching-parallel-agents,task-folder/agents/skills/dispatching-parallel-agents,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
vibe-code-auditor,task-folder/agents/skills/vibe-code-auditor,canonical_retained_source,none,data-and-ai,llm-and-rag,unassigned,pending,pending,unprocessed_in_phase08,pending
top-web-vulnerabilities,task-folder/agents/skills/top-web-vulnerabilities,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
options-flow-analyzer,task-folder/agents/skills/options-flow-analyzer,canonical_retained_source,none,business-and-operations,legal-and-governance,unassigned,pending,pending,unprocessed_in_phase08,pending
monorepo-management,task-folder/agents/skills/monorepo-management,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
lore,task-folder/agents/skills/lore,canonical_retained_source,none,development,software-architecture,unassigned,pending,pending,unprocessed_in_phase08,pending
dispatch,task-folder/agents/skills/dispatch,canonical_retained_source,none,data-and-ai,machine-learning,unassigned,pending,pending,unprocessed_in_phase08,pending
mixpanel-automation,task-folder/agents/skills/mixpanel-automation,canonical_retained_source,none,marketing-and-seo,technical-seo,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-dev-guidelines,task-folder/agents/skills/front end/frontend-dev-guidelines,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-design2,task-folder/agents/skills/front end/frontend-design2,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-developer,task-folder/agents/skills/front end/frontend-developer,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-ui-dark-ts,task-folder/agents/skills/front end/frontend-ui-dark-ts,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-lighthouse,task-folder/agents/skills/front end/frontend-lighthouse,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-mobile-development-component-scaffold,task-folder/agents/skills/front end/frontend-mobile-development-component-scaffold,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
full-output-enforcement,task-folder/agents/skills/front end/full-output-enforcement,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-api-integration-patterns,task-folder/agents/skills/front end/frontend-api-integration-patterns,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-optimistic-mutations,task-folder/agents/skills/front end/frontend-optimistic-mutations,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-security-coder,task-folder/agents/skills/front end/frontend-security-coder,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-mobile-security-xss-scan,task-folder/agents/skills/front end/frontend-mobile-security-xss-scan,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
front-end-design,task-folder/agents/skills/front end/front-end-design,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-data-contracts,task-folder/agents/skills/front end/frontend-data-contracts,canonical_retained_source,none,business-and-operations,legal-and-governance,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-ui-engineering,task-folder/agents/skills/front end/frontend-ui-engineering,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-slides-frontend-slides,task-folder/agents/skills/front end/frontend-slides-frontend-slides,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-slides,task-folder/agents/skills/front end/frontend-slides,canonical_retained_source,none,design-and-experience,motion-and-graphics,unassigned,pending,pending,unprocessed_in_phase08,pending
frontend-design,task-folder/agents/skills/front end/frontend-design,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
front-end-developer,task-folder/agents/skills/front end/front-end-developer,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
web-performance-optimization,task-folder/agents/skills/web-performance-optimization,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
rclone-cli,task-folder/agents/skills/rclone-cli,canonical_retained_source,none,data-and-ai,llm-and-rag,unassigned,pending,pending,unprocessed_in_phase08,pending
typescript-expert,task-folder/agents/skills/typescript-expert,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
clerk-auth,task-folder/agents/skills/clerk-auth,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
mtls-configuration,task-folder/agents/skills/mtls-configuration,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
web-scraper,task-folder/agents/skills/web-scraper,canonical_retained_source,none,workflow-and-automation,web-scraping,unassigned,pending,pending,unprocessed_in_phase08,pending
flowkit-naming,task-folder/agents/skills/flowkit-naming,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
team-collaboration-standup-notes,task-folder/agents/skills/team-collaboration-standup-notes,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
setup-help,task-folder/agents/skills/setup-help,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
posix-shell-pro,task-folder/agents/skills/posix-shell-pro,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
clarvia-aeo-check,task-folder/agents/skills/clarvia-aeo-check,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
leiloeiro-avaliacao,task-folder/agents/skills/leiloeiro-avaliacao,canonical_retained_source,none,business-and-operations,strategy,unassigned,pending,pending,unprocessed_in_phase08,pending
news-sentiment-engine,task-folder/agents/skills/news-sentiment-engine,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
manifest,task-folder/agents/skills/manifest,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
citation-management,task-folder/agents/skills/citation-management,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
hybrid-search-implementation,task-folder/agents/skills/hybrid-search-implementation,canonical_retained_source,none,marketing-and-seo,on-page-seo,unassigned,pending,pending,unprocessed_in_phase08,pending
trigger-dev,task-folder/agents/skills/trigger-dev,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
speckit-updater,task-folder/agents/skills/speckit-updater,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
runapi-cli,task-folder/agents/skills/runapi-cli,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
public-relations,task-folder/agents/skills/public-relations,canonical_retained_source,none,data-and-ai,llm-and-rag,unassigned,pending,pending,unprocessed_in_phase08,pending
viral-generator-builder,task-folder/agents/skills/viral-generator-builder,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
product-manager-toolkit,task-folder/agents/skills/product-manager-toolkit,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
monorepo-architect,task-folder/agents/skills/monorepo-architect,canonical_retained_source,none,infrastructure-and-ops,ci-cd,unassigned,pending,pending,unprocessed_in_phase08,pending
error-debugging-error-analysis,task-folder/agents/skills/debugging/error-debugging-error-analysis,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
debugging-and-error-recovery,task-folder/agents/skills/debugging/debugging-and-error-recovery,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
debugging-toolkit-smart-debug,task-folder/agents/skills/debugging/debugging-toolkit-smart-debug,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
error-debugging-multi-agent-review,task-folder/agents/skills/debugging/error-debugging-multi-agent-review,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
debugging-code,task-folder/agents/skills/debugging/debugging-code,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
diagnosing-bugs,task-folder/agents/skills/debugging/diagnosing-bugs,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
error-handling-patterns,task-folder/agents/skills/debugging/error-handling-patterns,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
debugging-strategies,task-folder/agents/skills/debugging/debugging-strategies,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
error-debugging-error-trace,task-folder/agents/skills/debugging/error-debugging-error-trace,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
error-detective,task-folder/agents/skills/debugging/error-detective,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
error-diagnostics-smart-debug,task-folder/agents/skills/debugging/error-diagnostics-smart-debug,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
debugger,task-folder/agents/skills/debugging/debugger,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
error-diagnostics-error-analysis,task-folder/agents/skills/debugging/error-diagnostics-error-analysis,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
error-diagnostics-error-trace,task-folder/agents/skills/debugging/error-diagnostics-error-trace,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
debugging-toolkit,task-folder/agents/skills/debugging/debugging-toolkit,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
cloudformation-best-practices,task-folder/agents/skills/cloudformation-best-practices,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
similarity-search-patterns,task-folder/agents/skills/similarity-search-patterns,canonical_retained_source,none,data-and-ai,vector-databases,unassigned,pending,pending,unprocessed_in_phase08,pending
pi-web-search,task-folder/agents/skills/pi-web-search,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
identity-mirror,task-folder/agents/skills/identity-mirror,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
zod-validation-expert,task-folder/agents/skills/zod-validation-expert,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
cloudflare,task-folder/agents/skills/cloudflare,canonical_retained_source,none,data-and-ai,llm-and-rag,unassigned,pending,pending,unprocessed_in_phase08,pending
address-github-comments,task-folder/agents/skills/address-github-comments,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
codex-profiles,task-folder/agents/skills/codex/codex-profiles,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
codex-subagent,task-folder/agents/skills/codex/codex-subagent,canonical_retained_source,none,meta-and-agent-skills,skill-lifecycle,unassigned,pending,pending,unprocessed_in_phase08,pending
codex-fable5,task-folder/agents/skills/codex/codex-fable5,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
codex-review,task-folder/agents/skills/codex/codex-review,canonical_retained_source,none,development,software-architecture,unassigned,pending,pending,unprocessed_in_phase08,pending
typescript-advanced-types,task-folder/agents/skills/typescript-advanced-types,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
local-legal-seo-audit,task-folder/agents/skills/local-legal-seo-audit,canonical_retained_source,none,marketing-and-seo,geo-and-local-seo,unassigned,pending,pending,unprocessed_in_phase08,pending
legacy-modernizer,task-folder/agents/skills/legacy-modernizer,canonical_retained_source,none,development,software-architecture,unassigned,pending,pending,unprocessed_in_phase08,pending
workorai,task-folder/agents/skills/workorai,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
shadcn-ui,task-folder/agents/skills/shadcn/shadcn-ui,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
shadcn,task-folder/agents/skills/shadcn/shadcn,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
shadcn-layouts,task-folder/agents/skills/shadcn/shadcn-layouts,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
deep-research,task-folder/agents/skills/deep-research,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
hybrid-cloud-architect,task-folder/agents/skills/hybrid-cloud-architect,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
godot-4-migration,task-folder/agents/skills/godot-4-migration,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
goal-loop,task-folder/agents/skills/goal-loop,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
nerdzao-elite,task-folder/agents/skills/nerdzao-elite,canonical_retained_source,none,development,software-architecture,unassigned,pending,pending,unprocessed_in_phase08,pending
ml-engineer,task-folder/agents/skills/ml-engineer,canonical_retained_source,none,quality-and-security,testing,unassigned,pending,pending,unprocessed_in_phase08,pending
workflow-automation,task-folder/agents/skills/workflow-automation,canonical_retained_source,none,workflow-and-automation,task-orchestration,unassigned,pending,pending,unprocessed_in_phase08,pending
vscode-extension-guide-en,task-folder/agents/skills/vscode-extension-guide-en,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
deployment-engineer,task-folder/agents/skills/deployment-engineer,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
puppeteer-skill,task-folder/agents/skills/puppeteer-skill,canonical_retained_source,none,workflow-and-automation,web-scraping,unassigned,pending,pending,unprocessed_in_phase08,pending
link-checker,task-folder/agents/skills/link-checker,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
sql-injection-testing,task-folder/agents/skills/sql-injection-testing,canonical_retained_source,none,quality-and-security,security,unassigned,pending,pending,unprocessed_in_phase08,pending
short,task-folder/agents/skills/short,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
efficient-web-research,task-folder/agents/skills/efficient-web-research,canonical_retained_source,none,development,systems,unassigned,pending,pending,unprocessed_in_phase08,pending
improve-codebase-architecture,task-folder/agents/skills/improve-codebase-architecture,canonical_retained_source,none,development,software-architecture,unassigned,pending,pending,unprocessed_in_phase08,pending
mermaid-expert,task-folder/agents/skills/mermaid-expert,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
pptx-deck-creation,task-folder/agents/skills/pptx-deck-creation,canonical_retained_source,none,content-and-documentation,presentations,unassigned,pending,pending,unprocessed_in_phase08,pending
logic-diff,task-folder/agents/skills/logic/logic-diff,canonical_retained_source,none,development,software-architecture,unassigned,pending,pending,unprocessed_in_phase08,pending
logic-review,task-folder/agents/skills/logic/logic-review,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
logic-explain,task-folder/agents/skills/logic/logic-explain,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
logic-lens,task-folder/agents/skills/logic/logic-lens,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
logic-fix-all,task-folder/agents/skills/logic/logic-fix-all,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
logic-locate,task-folder/agents/skills/logic/logic-locate,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
uv-package-manager,task-folder/agents/skills/uv-package-manager,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
postman-collection-generator,task-folder/agents/skills/postman/postman-collection-generator,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
postgresql,task-folder/agents/skills/postman/postgres/postgresql,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
postgresql-table-design,task-folder/agents/skills/postman/postgres/postgresql-table-design,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
postgres-best-practices,task-folder/agents/skills/postman/postgres/postgres-best-practices,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
postgresql-cli,task-folder/agents/skills/postman/postgres/postgresql-cli,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
postgres-readonly-queries,task-folder/agents/skills/postman/postgres/postgres-readonly-queries,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
postgres,task-folder/agents/skills/postman/postgres/postgres,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
postgresql-optimization,task-folder/agents/skills/postman/postgres/postgresql-optimization,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
postgresql-code-review,task-folder/agents/skills/postman/postgres/postgresql-code-review,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
