source_path,canonical_name,category,subcategory,lines,bytes,screening_status,candidate_signals,requires_deep_review,review_status,split_decision,rationale,parent_router_path,child_destination_paths,retired_source_path,content_allocation_count,resources_moved
task-folder/agents/skills/design/designer/layers-skills-main/skills/layers-intro,layers-intro,design-and-experience,ui-ux,125,9462,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer/layers-skills-main/skills/layers-user-needs,layers-user-needs,design-and-experience,ui-ux,62,4594,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer/layers-skills-main/skills/layers-surface,layers-surface,design-and-experience,ui-ux,66,5669,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer/layers-skills-main/skills/layers-conceptual-model,layers-conceptual-model,design-and-experience,ui-ux,72,7567,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer/layers-skills-main/skills/layers-orient,layers-orient,marketing-and-seo,cro,108,4934,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer/layers-skills-main/skills/layers-observed-behaviour,layers-observed-behaviour,design-and-experience,ui-ux,74,4399,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer/communication/speech-adaptation,speech-adaptation,design-and-experience,ui-ux,217,8348,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer/communication/presentation-design,presentation-design,design-and-experience,ui-ux,297,9724,screened_candidate,modes=5,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for presentation-design with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/designer/ce-polish,ce-polish,design-and-experience,ui-ux,89,3875,screened_candidate,modes=3,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for ce-polish with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/designer/ce-optimize,ce-optimize,design-and-experience,ui-ux,661,36715,screened_candidate,lines=661; modes=5,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for ce-optimize with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/designer/writing/analysis/voice-analysis,voice-analysis,design-and-experience,ui-ux,345,10534,screened_candidate,modes=8,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for voice-analysis with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/designer/writing/analysis/blind-spot-detective,blind-spot-detective,design-and-experience,ui-ux,231,8950,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer/writing/revision/summarization,summarization,design-and-experience,ui-ux,219,6127,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer/writing/revision/non-fiction-revision,non-fiction-revision,design-and-experience,ui-ux,370,11767,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/measure,measure,marketing-and-seo,on-page-seo,291,20630,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/design-ux,design-ux,design-and-experience,ui-ux,75,7292,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/design-an-interface,design-an-interface,design-and-experience,ui-ux,94,3366,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/system-design,system-design,design-and-experience,design-systems,77,3531,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/frontend-design,frontend-design,design-and-experience,ui-ux,85,5244,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/ui-skills,ui-skills,marketing-and-seo,cro,42,1161,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/ui-skills/image-to-code-skill,image-to-code-skill,marketing-and-seo,cro,1253,37014,screened_candidate,lines=1253,true,deep_reviewed,Retain as singular skill with references,"Skill represents a cohesive singular job (image-to-code-skill) with extensive supporting reference tables, checklists, or code examples. Functional job remains unified; supporting detail organized in references/.",none,none,none,0,none
task-folder/agents/skills/design/ui-skills/imagegen-frontend-mobile,imagegen-frontend-mobile,marketing-and-seo,cro,1490,40864,screened_candidate,lines=1490,true,deep_reviewed,Retain as singular skill with references,"Skill represents a cohesive singular job (imagegen-frontend-mobile) with extensive supporting reference tables, checklists, or code examples. Functional job remains unified; supporting detail organized in references/.",none,none,none,0,none
task-folder/agents/skills/design/ui-skills/imagegen-frontend-web,imagegen-frontend-web,marketing-and-seo,cro,1012,37433,screened_candidate,lines=1012,true,deep_reviewed,Retain as singular skill with references,"Skill represents a cohesive singular job (imagegen-frontend-web) with extensive supporting reference tables, checklists, or code examples. Functional job remains unified; supporting detail organized in references/.",none,none,none,0,none
task-folder/agents/skills/design/design-review,design-review,design-and-experience,taste-and-critique,154,8604,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/minimalist-ui,minimalist-ui,design-and-experience,motion-and-graphics,106,8935,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/brutalist-skill,brutalist-skill,design-and-experience,taste-and-critique,92,8456,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/high-end-visual-design,high-end-visual-design,marketing-and-seo,cro,119,11532,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/design-thinking,design-thinking,marketing-and-seo,cro,109,7309,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/design-spells,design-spells,marketing-and-seo,cro,41,2629,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/frontend-dev,frontend-dev,design-and-experience,motion-and-graphics,43,1214,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/domain-driven-design,domain-driven-design,design-and-experience,ui-ux,74,2491,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/redesign-skill,redesign-skill,design-and-experience,ui-ux,178,15060,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/seo-optimizer,seo-optimizer,marketing-and-seo,technical-seo,404,12806,screened_candidate,lines=404,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for seo-optimizer with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/design-system,design-system,design-and-experience,taste-and-critique,140,15384,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/specify,specify,marketing-and-seo,cro,326,15531,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/design-spatial,design-spatial,design-and-experience,ui-ux,271,18412,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/brandkit,brandkit,design-and-experience,ui-ux,822,16517,screened_candidate,lines=822,true,deep_reviewed,Retain as singular skill with references,"Skill represents a cohesive singular job (brandkit) with extensive supporting reference tables, checklists, or code examples. Functional job remains unified; supporting detail organized in references/.",none,none,none,0,none
task-folder/agents/skills/design/brand-guidelines,brand-guidelines,design-and-experience,ui-ux,42,1385,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/soft-skill,soft-skill,design-and-experience,motion-and-graphics,98,10561,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/blueprint,blueprint,marketing-and-seo,cro,624,28982,screened_candidate,lines=624,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for blueprint with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/imagegen,imagegen,design-and-experience,ui-ux,44,1202,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/langgraph,langgraph,data-and-ai,llm-and-rag,505,13366,screened_candidate,lines=505,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for langgraph with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/offers,offers,development,fullstack,168,9740,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/multi-platform-apps-multi-platform,multi-platform-apps-multi-platform,marketing-and-seo,cro,211,10227,screened_candidate,modes=3,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for multi-platform-apps-multi-platform with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/hybrid-cloud-networking,hybrid-cloud-networking,development,fullstack,246,6258,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/daily-news-report,daily-news-report,development,fullstack,358,13355,screened_candidate,modes=8,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for daily-news-report with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/hr-pro,hr-pro,development,fullstack,129,8608,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/time-ledger,time-ledger,development,backend,118,7318,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/anti-sycophancy,anti-sycophancy,development,frontend,40,1483,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/broken-authentication,broken-authentication,development,systems,480,12594,screened_candidate,lines=480; modes=10,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for broken-authentication with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/awareness-stage-mapper,awareness-stage-mapper,development,fullstack,122,5966,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/clean-code,clean-code,development,software-architecture,99,4669,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-code-component-local-dev-setup,webflow-code-component-local-dev-setup,development,fullstack,171,5296,screened_candidate,modes=5,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for webflow-code-component-local-dev-setup with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-code-component-deploy-guide,webflow-code-component-deploy-guide,development,fullstack,492,11290,screened_candidate,lines=492; modes=4,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for webflow-code-component-deploy-guide with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-cli-code-component,webflow-cli-code-component,development,frontend,1150,27842,screened_candidate,lines=1150; modes=11,true,deep_reviewed,Retain as singular skill with references,"Skill represents a cohesive singular job (webflow-cli-code-component) with extensive supporting reference tables, checklists, or code examples. Functional job remains unified; supporting detail organized in references/.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-code-component-component-scaffold,webflow-code-component-component-scaffold,design-and-experience,ui-ux,489,13823,screened_candidate,lines=489; modes=5; decision_tree,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for webflow-code-component-component-scaffold with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-code-component-pre-deploy-check,webflow-code-component-pre-deploy-check,design-and-experience,ui-ux,568,19695,screened_candidate,lines=568; modes=5,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for webflow-code-component-pre-deploy-check with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-code-component-troubleshoot-deploy,webflow-code-component-troubleshoot-deploy,development,fullstack,163,5168,screened_candidate,modes=3,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for webflow-code-component-troubleshoot-deploy with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-ui-skills,webflow-ui-skills,design-and-experience,taste-and-critique,160,5473,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-automation,webflow-automation,development,fullstack,244,11631,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-code-component-component-audit,webflow-code-component-component-audit,development,frontend,387,12714,screened_candidate,modes=3,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for webflow-code-component-component-audit with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-code-component-convert-component,webflow-code-component-convert-component,development,frontend,847,23711,screened_candidate,lines=847; modes=5,true,deep_reviewed,Retain as singular skill with references,"Skill represents a cohesive singular job (webflow-code-component-convert-component) with extensive supporting reference tables, checklists, or code examples. Functional job remains unified; supporting detail organized in references/.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-cli-designer-extension,webflow-cli-designer-extension,development,frontend,681,16480,screened_candidate,lines=681; modes=11,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for webflow-cli-designer-extension with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-cli-cloud,webflow-cli-cloud,development,fullstack,944,24949,screened_candidate,lines=944; modes=8,true,deep_reviewed,Retain as singular skill with references,"Skill represents a cohesive singular job (webflow-cli-cloud) with extensive supporting reference tables, checklists, or code examples. Functional job remains unified; supporting detail organized in references/.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-cli-troubleshooter,webflow-cli-troubleshooter,quality-and-security,debugging,366,8383,screened_candidate,modes=4,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for webflow-cli-troubleshooter with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-code-components,webflow-code-components,design-and-experience,ui-ux,106,6270,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-designer-api,webflow-designer-api,quality-and-security,debugging,72,4639,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/webflow/webflow-cli-devlink,webflow-cli-devlink,development,frontend,885,19907,screened_candidate,lines=885; modes=9,true,deep_reviewed,Retain as singular skill with references,"Skill represents a cohesive singular job (webflow-cli-devlink) with extensive supporting reference tables, checklists, or code examples. Functional job remains unified; supporting detail organized in references/.",none,none,none,0,none
task-folder/agents/skills/super-code,super-code,development,fullstack,209,7954,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/go,go,development,backend,237,6049,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/python,python,development,backend,318,6503,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/elixir,elixir,development,fullstack,369,8383,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/dart,dart,development,fullstack,330,7453,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/typescript,typescript,development,fullstack,289,6550,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/rust,rust,development,backend,292,6609,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/java,java,development,backend,233,5656,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/kotlin,kotlin,development,mobile,284,6468,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/php,php,development,backend,319,6972,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/bash,bash,development,fullstack,295,6031,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/scala,scala,development,fullstack,305,6938,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/cpp,cpp,development,fullstack,274,6633,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/swift,swift,development,mobile,302,7122,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/csharp,csharp,development,fullstack,279,6360,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/super-code/c,c,development,fullstack,266,5471,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/container-security-hardening,container-security-hardening,infrastructure-and-ops,containers-and-orchestration,1001,30893,screened_candidate,lines=1001,true,deep_reviewed,Retain as singular skill with references,"Skill represents a cohesive singular job (container-security-hardening) with extensive supporting reference tables, checklists, or code examples. Functional job remains unified; supporting detail organized in references/.",none,none,none,0,none
task-folder/agents/skills/crewai,crewai,development,fullstack,458,11164,screened_candidate,lines=458,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for crewai with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/dx-optimizer,dx-optimizer,development,fullstack,87,2657,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/risk-manager,risk-manager,business-and-operations,strategy,65,2186,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/web-security-testing,web-security-testing,quality-and-security,security,188,4318,screened_candidate,modes=7,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for web-security-testing with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/vector-index-tuning,vector-index-tuning,development,fullstack,50,1836,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/jobgpt,jobgpt,development,fullstack,105,5676,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/server-management,server-management,infrastructure-and-ops,server-management,171,4161,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/nodejs/nodejs-best-practices,nodejs-best-practices,development,backend,343,8772,screened_candidate,decision_tree,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for nodejs-best-practices with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/nodejs/nodejs-backend-patterns,nodejs-backend-patterns,development,backend,43,1663,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/senior-frontend,senior-frontend,design-and-experience,design-systems,495,12485,screened_candidate,lines=495,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for senior-frontend with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/monopoly,monopoly,marketing-and-seo,cro,402,15344,screened_candidate,lines=402; modes=4,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for monopoly with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/monopoly/patterns,patterns,business-and-operations,strategy,335,10530,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/monopoly/scale-benchmarks,scale-benchmarks,business-and-operations,strategy,178,5564,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/monopoly/tech-matrix,tech-matrix,business-and-operations,strategy,272,12260,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/lovable-cleanup,lovable-cleanup,design-and-experience,design-systems,419,13469,screened_candidate,lines=419,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for lovable-cleanup with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/graphql-schema,graphql-schema,development,fullstack,309,6917,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/site-architecture,site-architecture,marketing-and-seo,technical-seo,370,13873,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/cms-collection-setup,cms-collection-setup,development,mobile,1285,32331,screened_candidate,lines=1285; modes=16,true,deep_reviewed,Retain as singular skill with references,"Skill represents a cohesive singular job (cms-collection-setup) with extensive supporting reference tables, checklists, or code examples. Functional job remains unified; supporting detail organized in references/.",none,none,none,0,none
task-folder/agents/skills/scarcity-urgency-psychologist,scarcity-urgency-psychologist,development,fullstack,119,4992,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/documentation/docs-guard,docs-guard,content-and-documentation,technical-writing,109,8055,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/documentation/documentation,documentation,content-and-documentation,technical-writing,265,5665,screened_candidate,modes=8,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for documentation with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/documentation/research-documentation,research-documentation,content-and-documentation,research-and-synthesis,539,14193,screened_candidate,lines=539,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for research-documentation with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/documentation/doc-coauthoring,doc-coauthoring,quality-and-security,testing,386,16091,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/documentation/documentation-templates,documentation-templates,content-and-documentation,technical-writing,204,3715,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/documentation/docs-architect,docs-architect,content-and-documentation,technical-writing,101,4464,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/documentation/planning-documentation,planning-documentation,content-and-documentation,technical-writing,117,3358,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
